time,close,score,conf,pti,qdd_dir,qdd_conf,gravity_block_bull,gravity_block_bear,wick_bull,wick_bear,ema_trend,ema_macro,ema_gravity,atr,last_polar,bars_neutral
2026-05-04 11:00:00,79666.08,1,26,0.49957539330806217,1,0,0,1,0,0,79022.35024120715,78270.24460380805,,,1,
2026-05-04 12:00:00,79798.34,1,27,0.16605194307480667,1,0,0,1,0,0,79066.69273612023,78304.52373660794,,,1,
2026-05-04 13:00:00,78893.41,1,28,0.6947859278574214,2,0,0,0,0,0,79056.79172456221,78318.8485687823,,,1,
2026-05-04 14:00:00,78753.27,1,29,0.5945136376087442,2,0,0,1,0,0,79039.44853522161,78329.8131155975,,,1,
2026-05-04 15:00:00,78817.25,0,100002901,0.5766087500264545,2,0,0,1,0,0,79026.75203251399,78341.44723765342,,,1,
2026-05-04 16:00:00,78747.04,0,100002902,0.6949217320132924,2,0,0,1,0,0,79010.76749220499,78349.02513333372,,,1,
2026-05-04 17:00:00,80170.06,1,1,0.6965245018917268,1,0,0,0,0,0,79077.01247209367,78389.05104569027,,,1,
2026-05-04 18:00:00,79976.46,1,2,0.6958748647364079,1,0,0,1,0,0,79128.40996149056,78425.03003002312,,,1,
2026-05-04 19:00:00,79981.62,1,3,0.6838245403479006,1,0,0,1,0,0,79177.16380091192,78458.15056929467,,,1,
2026-05-04 20:00:00,80339.36,1,4,0.8421721427273988,1,0,0,1,0,0,79243.57794359581,78504.18108035829,,,1,
2026-05-04 21:00:00,80080.47,1,5,0.07428890189751942,1,0,0,1,0,0,79291.40206257199,78541.68320201283,,,1,
2026-05-04 22:00:00,80017.57,1,6,0.04267293885468389,1,0,0,1,0,0,79332.8974857804,78574.64286710802,,,1,
2026-05-04 23:00:00,79899.19,1,7,0.08322964849181042,1,0,0,1,0,0,79365.25782180089,78605.17833413115,,,1,
2026-05-05 00:00:00,80216.97,1,8,0.09810111187934896,1,0,0,1,0,0,79413.9265236912,78640.18077883014,,,1,
2026-05-05 01:00:00,80031.39,1,9,0.048007611730614075,1,0,0,1,0,0,79449.21002028073,78670.90822204672,,,1,
2026-05-05 02:00:00,79826.32,1,10,0.21105499676845782,1,0,0,1,0,0,79470.75908085937,78696.4670949901,,,1,
2026-05-05 03:00:00,80130.77,1,11,0.19423492273874257,1,0,0,1,0,0,79508.47467419153,78729.3260868579,,,1,
2026-05-05 04:00:00,80308.58,1,12,0.08723206103291188,1,0,0,1,0,0,79554.19301174123,78761.58524845712,,,1,
2026-05-05 05:00:00,80514.1,1,13,0.5060353805497794,1,0,0,0,0,0,79609.0459589682,78802.14367395602,,,1,
2026-05-05 06:00:00,80835.31,1,14,0.7069203585802338,1,0,0,1,0,0,79679.11906693668,78848.58953180275,,,1,
2026-05-05 07:00:00,80850.21,1,15,0.6164527578193929,1,0,0,1,0,0,79746.0381964555,78892.56199918385,,,1,
2026-05-05 08:00:00,80924.63,1,16,0.580024309107201,1,0,0,0,0,0,79813.38538930216,78936.40687660502,,,1,
2026-05-05 09:00:00,80933.52,1,17,0.4625189838851055,1,0,0,1,0,0,79877.39374959088,78981.75053497072,,,1,
2026-05-05 10:00:00,80815.22,1,18,0.040119753190824434,1,0,0,1,0,0,79930.98584763815,79025.4158989678,,,1,
2026-05-05 11:00:00,80775.67,1,19,0.16382788324908487,1,0,0,1,0,0,79979.25309084421,79063.70113999129,,,1,
2026-05-05 12:00:00,80550.63,1,20,0.5911700655775676,1,0,0,1,0,0,80011.90336806636,79096.9863810327,,,1,
2026-05-05 13:00:00,80786.28,1,21,0.20153178158487448,1,0,0,1,0,0,80056.15471902213,79136.33937919766,,,1,
2026-05-05 14:00:00,80972.51,1,22,0.21700897256837745,1,0,0,1,0,0,80108.51715707865,79176.10396333919,,,1,
2026-05-05 15:00:00,81222.74,1,23,0.624021843494007,1,0,0,1,0,0,80172.18965490199,79225.36339564758,,,1,
2026-05-05 16:00:00,81278.65,1,24,0.7554625865405,1,0,0,0,0,0,80235.42060786152,79277.69199306735,,,1,
2026-05-05 17:00:00,81284.01,1,25,0.5487039228833477,1,0,0,1,0,0,80295.34025326949,79322.6395103368,,,1,
2026-05-05 18:00:00,81488.66,1,26,0.5519560624677633,1,0,0,1,0,0,80363.52869367575,79368.95770174716,,,1,
2026-05-05 19:00:00,81249.92,1,27,0.04669841199599604,1,0,0,1,0,0,80414.17948639247,79410.55637195501,,,1,
2026-05-05 20:00:00,81223.41,1,28,0.09933182898416458,1,0,0,1,0,0,80460.41982465143,79448.8159780816,,,1,
2026-05-05 21:00:00,81463.74,1,29,0.31915938392805443,1,0,0,1,0,0,80517.74347194232,79480.71232891783,,,1,
2026-05-05 22:00:00,81553.61,1,30,0.09754960161851894,1,0,0,1,0,0,80576.93528194065,79525.96503626817,,,1,
2026-05-05 23:00:00,81581.14,1,31,0.5466886459092833,1,0,0,0,0,0,80634.31762367854,79570.50390037942,,,1,
2026-05-06 00:00:00,81363.6,1,32,0.18857867103711434,1,0,0,1,0,0,80675.99250790468,79612.66512951214,,,1,
2026-05-06 01:00:00,81071.38,1,33,0.5071553478948149,1,0,0,1,0,0,80698.58679532178,79646.11385635717,,,1,
2026-05-06 02:00:00,80861.51,1,34,0.6675200752989402,1,0,0,1,0,0,80707.89630952515,79672.5702175934,,,1,
2026-05-06 03:00:00,80980.42,1,35,0.5706983155173451,1,0,0,1,0,0,80723.46907308829,79701.60651597532,,,1,
2026-05-06 04:00:00,81390.04,1,36,0.041579720560295394,1,0,0,1,0,0,80761.55746432889,79737.14356230166,,,1,
2026-05-06 05:00:00,81319.77,1,37,0.4027604330069564,1,0,0,1,0,0,80793.45589708064,79773.13991451368,,,1,
2026-05-06 06:00:00,81535.57,1,38,0.6887126690371496,1,0,0,1,0,0,80835.86299260001,79813.13447232118,,,1,
2026-05-06 07:00:00,81293.55,1,39,0.3314014605857193,1,0,0,1,0,0,80862.00866518712,79834.68597798674,,,1,
